Index,Name,cmc,TARGET,MW,LogP,TPSA,HBA,HBD,RotBonds,NumAromRings,FractionCSP3,NumRings,HeavyAtomCount,CarbonCount,AliphaticCarbonCount,NumOH,NumCarbonyls,NumCarboxyls,NumEthers,NumSulfurs,NumAmines,LabuteASA,NumChargedAtoms,MolMR,LongestAliphaticChain,PolarRatio,Chi0v,Chi1v
69,Surfonic L24-6.8 NRE U,0.03,1.491361694,508.3975188,4.4059,84.84,8,1,32,0,1,0,35,27,27,1,0,0,7,0,0,214.8167964,0,139.2798,13,2.424,22.68972794,14.06478643
70,Surfonic L24-9 NRE,0.03,1.491361694,596.4499482,4.4391,103.3,10,1,38,0,1,0,41,31,31,1,0,0,9,0,0,250.5036553,0,160.9178,13,2.519512195,26.33465165,16.21948697
71,Surfonic POA-L61,3.38,3.529045171,1935.371368,11.1738,345.05,35,2,100,0,1,0,133,98,98,2,0,0,33,0,0,804.4740962,0,509.0486,3,2.594360902,88.55718654,49.66378498
72,Termul 203,0,0,7086.76009,30.248,1284.74,138,1,413,0,1,0,486,348,348,1,0,0,137,0,0,2922.724095,0,1825.8468,4,2.643497942,314.1628519,179.9041194
73,Termul 5500,0,0,3822.560809,15.6047,703.25,75,1,224,0,1,0,262,187,187,1,0,0,74,0,0,1575.815065,0,983.4248,4,2.684160305,168.8892331,96.88915346
74,Tersperse 2500,0.03,1.491361694,2109.184749,6.7655,519.04,43,1,92,0,0.87254902,0,146,102,102,0,13,1,30,0,0,863.8987825,0,522.4198,28,3.555068493,91.96884121,50.36435888
75,Tersperse 2612,0.05,1.707570176,7708.64376,101.6863,999.02,50,30,249,48,0.395626243,48,569,503,215,14,16,8,20,0,8,3386.38632,0,2299.5802,114,1.755746924,330.9569499,203.8195797
76,"Tricyclodecanedimethanol 6,5EO",13.57,4.13261185,460.3036184,1.369,95.84,8,2,20,0,1,3,32,24,24,2,0,0,6,0,0,192.3851651,0,118.4936,7,2.995,19.53594061,12.52921014
77,Ultrader DGW 710,0.02,1.322219295,538.4080834,4.0324,94.07,9,1,34,0,1,0,37,28,28,1,0,0,8,0,0,226.2952837,0,145.4818,12,2.542432432,23.80508301,14.6421367
78,Ultramina 200,0.05,1.707570176,795.6071772,5.4765,136,13,2,50,0,0.952380952,0,55,42,42,2,0,0,10,0,1,335.4960282,0,218.2536,18,2.472727273,35.1559887,21.71157822
79,Ultramina CO 150,0.09,1.959041392,845.6075711,3.4097,163.69,16,2,54,0,1,0,58,42,42,2,0,0,13,0,1,351.5262669,0,223.1026,12,2.822241379,36.64024659,22.29379911
80,Ultramina TA 0100,0.04,1.612783857,707.5547477,5.4433,117.54,11,2,44,0,0.947368421,0,49,38,38,2,0,0,8,0,1,299.8091692,0,196.6156,18,2.39877551,31.51106499,19.55687768
81,Ultramina TA 050,0.02,1.322219295,487.4236739,5.3603,71.39,6,2,29,0,0.928571429,0,34,28,28,2,0,0,3,0,1,210.5920219,0,142.5206,18,2.099705882,22.39875573,14.17012633
82,Ultramina TA 080,0.01,1.041392685,619.5023182,5.4101,99.08,9,2,38,0,0.941176471,0,43,34,34,2,0,0,6,0,1,264.1223103,0,174.9776,18,2.304186047,27.86614128,17.40217714
83,Ultramina TA 120,0.01,1.041392685,795.6071772,5.4765,136,13,2,50,0,0.952380952,0,55,42,42,2,0,0,10,0,1,335.4960282,0,218.2536,18,2.472727273,35.1559887,21.71157822
84,Ultramina TA 150,0.03,1.491361694,927.6858214,5.5263,163.69,16,2,59,0,0.958333333,0,64,48,48,2,0,0,13,0,1,389.0263165,0,250.7106,18,2.55765625,40.62337425,24.94362902
85,Ultramina TA 200,0.08,1.908485019,1147.816895,5.6093,209.84,21,2,74,0,0.965517241,0,79,58,58,2,0,0,18,0,1,478.2434638,0,304.8056,18,2.656202532,49.73568352,30.33038037
86,Ultranex NP 0040,0.01,1.041392685,396.2875744,4.4006,57.15,5,1,20,1,0.739130435,1,28,23,17,1,0,0,4,0,0,170.8838337,0,113.1768,9,2.041071429,17.70331633,10.92908829
87,Ultranex NP 0060,0.02,1.322219295,660.4448629,4.5002,112.53,11,1,38,1,0.828571429,1,46,35,29,1,0,0,10,0,0,277.9444105,0,178.0908,9,2.446304348,28.63808745,17.39318991
88,Ultranex NP 0080,0.03,1.491361694,748.4972924,4.5334,130.99,13,1,44,1,0.846153846,1,52,39,33,1,0,0,12,0,0,313.6312694,0,199.7288,9,2.519038462,32.28301116,19.54789045
89,Ultranex NP 0095,0.04,1.612783857,660.4448629,4.5002,112.53,11,1,38,1,0.828571429,1,46,35,29,1,0,0,10,0,0,277.9444105,0,178.0908,9,2.446304348,28.63808745,17.38720685
90,Ultranex NP 0100,0.05,1.707570176,660.4448629,4.5002,112.53,11,1,38,1,0.828571429,1,46,35,29,1,0,0,10,0,0,277.9444105,0,178.0908,9,2.446304348,28.63808745,17.39318991
91,Ultranex NP 0110,0.06,1.785329835,748.4972924,4.5334,130.99,13,1,44,1,0.846153846,1,52,39,33,1,0,0,12,0,0,313.6312694,0,199.7288,9,2.519038462,32.28301116,19.54789045
92,Ultranex NP 0120,0.06,1.785329835,792.5235071,4.55,140.22,14,1,47,1,0.853658537,1,55,41,35,1,0,0,13,0,0,331.4746989,0,210.5478,9,2.549454545,34.10547301,20.62524072
93,Ultranex NP 0150,0.1,2.004321374,924.6021514,4.5998,167.91,17,1,56,1,0.872340426,1,64,47,41,1,0,0,16,0,0,385.0049872,0,243.0048,9,2.62359375,39.57285857,23.85729152
94,Ultranex NP 0200,0.2,2.303196057,1100.70701,4.6662,204.83,21,1,68,1,0.890909091,1,76,55,49,1,0,0,20,0,0,456.3787051,0,286.2808,9,2.695131579,46.86270598,28.1666926
95,Ultranex NP 0230,0.47,2.673020907,1232.785655,4.716,232.52,24,1,77,1,0.901639344,1,85,61,55,1,0,0,23,0,0,509.9089934,0,318.7378,9,2.735529412,52.33009154,31.39874341
96,Ultranex NP 0300,0.62,2.7930916,1540.969158,4.8322,297.13,31,1,98,1,0.92,1,106,75,69,1,0,0,30,0,0,634.8129997,0,394.4708,9,2.803113208,65.08732451,38.94019529
97,Ultranex NP 0300 S,0.35,2.545307116,1540.969158,4.8322,297.13,31,1,98,1,0.92,1,106,75,69,1,0,0,30,0,0,634.8129997,0,394.4708,9,2.803113208,65.08732451,38.94019529
98,Ultranex NP 0400,0.76,2.881384657,1981.231305,4.9982,389.43,41,1,128,1,0.936842105,1,136,95,89,1,0,0,40,0,0,813.2472942,0,502.6608,9,2.863455882,83.31194304,49.71369799
99,Ultranex NP 1000,0.32,2.506505032,4622.80419,5.9942,943.23,101,1,308,1,0.972093023,1,316,215,209,1,0,0,100,0,0,1883.853062,0,1151.8008,9,2.984905063,192.6596542,114.3547141
100,Ultranex NP 300 W30 PH,0.52,2.716837723,1540.969158,4.8322,297.13,31,1,98,1,0.92,1,106,75,69,1,0,0,30,0,0,634.8129997,0,394.4708,9,2.803113208,65.08732451,38.94019529
101,Ultranex NP 85 NR,0.03,1.491361694,660.4448629,4.5002,112.53,11,1,38,1,0.828571429,1,46,35,29,1,0,0,10,0,0,277.9444105,0,178.0908,9,2.446304348,28.63808745,17.39318991
102,Ultranex TSP 160,0.01,1.041392685,1060.575937,7.8013,158.68,16,1,51,4,0.5,4,76,60,36,1,0,0,15,0,0,451.169205,0,296.5988,2,2.087894737,44.56319758,26.51671603
103,Ultranol 1001,0.92,2.96425963,378.2981391,3.0583,66.38,6,1,22,0,1,0,26,20,20,1,0,0,5,0,0,160.0351111,0,103.7208,9,2.553076923,17.0866206,10.34193755
104,Ultraric 5000 HM (lote Mau�),0,0,5355.561266,20.7813,989.38,106,1,317,0,1,0,367,261,261,1,0,0,105,0,0,2205.340684,0,1373.9538,4,2.695858311,235.8284724,135.47852
