Descriptor_Set,DR_Method,Clustering,ARI_vs_Baseline,N_Clusters,Silhouette,Davies_Bouldin
MolecularProps_Only,KMeans,KMeans_6,0.10096487019978938,6,0.5121185183525085,0.7001548455034725
MolecularProps_Only,Hierarchical,Hierarchical_4,0.1885753322836049,4,0.5036619305610657,0.7389321765858782
MolecularProps_Only,PaCMAP,HDBSCAN,0.04252497061930592,20,0.617569625377655,0.4039582531386503
MolecularProps_Only,PCA,DBSCAN,-0.015388196029993834,1,,
MolecularProps_Only,KMeans,KMeans_4,-0.08306056754524871,4,0.47646137506767977,0.6216199832065451
MolecularProps_Only,KMeans,KMeans_6,-0.021437868396624385,6,0.44981155205014794,0.7012182631943634
MolecularProps_Only,Hierarchical,Hierarchical_4,-0.10959448290086823,4,0.5226828525224018,0.6246123841716664
MolecularProps_Only,PCA,HDBSCAN,0.05619451122072085,14,0.5911304069443427,0.49529440375107914
MolecularProps_Only,t-SNE,DBSCAN,0.043439932405208916,4,0.3413441479206085,0.8892179111382293
MolecularProps_Only,KMeans,KMeans_4,0.06151782169151121,4,0.5443863868713379,0.6520236476390187
MolecularProps_Only,KMeans,KMeans_6,0.0988548750480657,6,0.5291948914527893,0.6624081292271594
MolecularProps_Only,Hierarchical,Hierarchical_4,0.05661880283890598,4,0.5166521668434143,0.6612479569354331
MolecularProps_Only,t-SNE,HDBSCAN,0.10100288679397221,10,0.5234456658363342,0.5093944610270001
MolecularProps_Only,UMAP,DBSCAN,-0.11220510553751227,3,0.7157034277915955,0.3364698323089761
MolecularProps_Only,KMeans,KMeans_4,0.08861304698803159,4,0.646108865737915,0.44311740277389905
MolecularProps_Only,KMeans,KMeans_6,0.037880867580288156,6,0.5977873802185059,0.45944797717599095
MolecularProps_Only,Hierarchical,Hierarchical_4,0.09517624427926641,4,0.6418336033821106,0.4518080753710736
MolecularProps_Only,UMAP,HDBSCAN,0.040864934816279876,19,0.637488842010498,0.40872711605032525
