TARGET,MW,LogP,TPSA,HBA,HBD,RotBonds,NumAromRings,FractionCSP3,NumRings,HeavyAtomCount,CarbonCount,AliphaticCarbonCount,NumOH,NumCarbonyls,NumCarboxyls,NumEthers,NumSulfurs,NumAmines,LabuteASA,NumChargedAtoms,MolMR,LongestAliphaticChain,PolarRatio,Chi0v,Chi1v,Index
-1.886056648,244.2402303,4.0407,40.46,2,2,13,0,1.0,0,17,15,15,2,0,0,0,0,0,107.4369081,0,74.1706,15,2.38,11.66416562,7.598030018,117
-3.004364805,299.2824294,3.9242,66.48,3,3,15,0,0.888888889,0,21,18,18,2,0,0,0,0,1,131.1820221,0,91.286,18,3.165714286,13.97356669,8.931363351,118
-2.302770657,397.3555944,5.662,69.56,3,3,20,0,0.875,0,28,24,24,2,1,0,0,0,1,173.7431684,0,119.3833,18,2.484285714,18.63289184,11.90148947,119
-2.235077015,341.2929941,4.1016,69.56,3,3,16,0,0.85,0,24,20,20,2,1,0,0,0,1,148.2834,0,100.9153,18,2.898333333,15.80446471,9.840829298,120
-1.167491087,567.3618615,-0.594,200.61,11,8,21,0,0.962962963,1,39,27,27,8,1,0,2,0,1,231.7242311,0,142.4614,14,5.143846154,23.55242137,14.43436859,121
-1.88941029,258.2558803,4.4308,40.46,2,2,14,0,1.0,0,18,16,16,2,0,0,0,0,0,113.8018502,0,78.7876,16,2.247777778,12.3712724,8.098030018,122
-2.30980392,397.3555944,5.662,69.56,3,3,20,0,0.875,0,28,24,24,2,1,0,0,0,1,173.7431684,0,119.3833,18,2.484285714,18.63289184,11.90148947,123
-2.22184875,341.2929941,4.1016,69.56,3,3,16,0,0.85,0,24,20,20,2,1,0,0,0,1,148.2834,0,100.9153,18,2.898333333,15.80446471,9.840829298,124
-3.795880017,339.277344,4.8994,55.4,3,1,15,0,0.9,1,24,20,20,0,2,0,1,0,1,147.6537717,0,97.8187,16,2.308333333,15.61580364,10.1973063,125
-2.119758224,582.3615272,0.271,206.6,12,8,23,0,0.964285714,1,40,28,28,8,1,0,3,0,0,237.4428848,0,145.0174,16,5.165,23.92766963,14.94011971,126
-2.019996628,580.3458771,0.635,195.6,12,7,19,0,0.964285714,2,40,28,28,7,1,0,4,0,0,236.7563651,0,142.8046,16,4.89,23.75894781,15.02038151,127
-0.853871964,418.2930537,2.8108,116.45,7,4,16,0,0.954545455,1,29,22,22,4,1,0,2,0,0,174.9627518,0,110.1712,16,4.015517241,18.00695232,11.5084213,128
-1.649751982,580.4186481,3.2768,155.14,10,5,31,0,0.966666667,0,40,30,30,5,1,0,4,0,0,241.9094441,0,154.075,18,3.8785,25.05727326,15.60464405,129
-1.552841969,728.492207,2.0318,214.06,14,7,39,0,0.972222222,0,50,36,36,7,1,0,6,0,0,299.9146548,0,187.7266,18,4.2812,30.75132469,18.90873553,130
-2.289882635,594.3615272,1.3743,195.6,12,7,21,0,0.965517241,2,41,29,29,7,1,0,4,0,0,243.1213072,0,147.1936,18,4.770731707,24.51846084,15.52453885,131
-0.698970004,446.3243538,3.591,116.45,7,4,18,0,0.958333333,1,31,24,24,4,1,0,2,0,0,187.6926361,0,119.4052,18,3.756451613,19.42116588,12.5084213,132
-2.490644359,623.4244618,0.9664,200.61,11,8,25,0,0.967741935,1,43,31,31,8,1,0,2,0,1,257.1839996,0,160.9294,18,4.665348837,26.3808485,16.46124205,133
-2.015472686,595.3931616,0.1862,200.61,11,8,23,0,0.965517241,1,41,29,29,8,1,0,2,0,1,244.4541153,0,151.6954,16,4.892926829,24.96663493,15.46124205,134
-1.568636236,389.350509,3.4761,84.16,5,4,21,0,1.0,0,27,22,22,4,0,0,0,0,1,167.3398041,0,112.9372,16,3.117037037,17.82579736,11.43763655,135
-2.779891912,506.4182542,5.5596,75.61,7,1,32,0,1.0,0,35,28,28,1,0,0,6,0,0,216.0681932,0,142.3118,16,2.160285714,22.98858643,14.48743616,136
-2.769551079,550.4444689,5.5762,84.84,8,1,35,0,1.0,0,38,30,30,1,0,0,7,0,0,233.9116227,0,153.1308,16,2.232631579,24.81104828,15.56478643,137
-2.678815973,638.4968984,5.6094,103.3,10,1,41,0,1.0,0,44,34,34,1,0,0,9,0,0,269.5984816,0,174.7688,16,2.347727273,28.45597199,17.71948697,138
-2.63921731,770.5755427,5.6592,130.99,13,1,50,0,1.0,0,53,40,40,1,0,0,12,0,0,323.12877,0,207.2258,16,2.471509434,33.92335755,20.95153778,139
-2.508638306,902.6541869,5.709,158.68,16,1,59,0,1.0,0,62,46,46,1,0,0,15,0,0,376.6590584,0,239.6828,16,2.559354839,39.39074311,24.18358859,140
-2.408935393,1166.811475,5.8086,214.06,22,1,77,0,1.0,0,80,58,58,1,0,0,21,0,0,483.7196351,0,304.5968,16,2.67575,50.32551422,30.6476902,141
-2.457797218,580.4550336,5.2027,94.07,9,1,37,0,1.0,0,40,31,31,1,0,0,8,0,0,245.39011,0,159.3328,15,2.35175,25.92640335,16.1421367,142
-1.609781681,405.3090381,1.5818,121.46,6,5,18,0,0.952380952,0,28,21,21,5,1,0,0,0,1,169.9306178,0,109.828,14,4.337857143,17.80042588,10.94422584,143
-1.443697499,567.3618615,-0.594,200.61,11,8,21,0,0.962962963,1,39,27,27,8,1,0,2,0,1,231.7242311,0,142.4614,14,5.143846154,23.55242137,14.46124205,144
-2.0,478.3869541,4.7794,75.61,7,1,30,0,1.0,0,33,26,26,1,0,0,6,0,0,203.338309,0,133.0778,14,2.291212121,21.57437287,13.48743616,145
-2.04793441,566.4393836,4.8126,94.07,9,1,36,0,1.0,0,39,30,30,1,0,0,8,0,0,239.0251679,0,154.7158,14,2.412051282,25.21929657,15.6421367,146
-1.30980392,420.3450893,4.3727,66.38,6,1,26,0,1.0,0,29,23,23,1,0,0,5,0,0,179.1299374,0,117.6418,13,2.288965517,19.04480423,11.91008589,147
-1.569441231,552.4237335,4.4225,94.07,9,1,35,0,1.0,0,38,29,29,1,0,0,8,0,0,232.6602258,0,150.0988,13,2.475526316,24.51218979,15.1421367,148
-0.8261012,377.277738,0.8016,121.46,6,5,16,0,0.947368421,0,26,19,19,5,1,0,0,0,1,157.2007336,0,100.594,12,4.671538462,16.38621231,9.944225836,149
-0.601028774,539.3305614,-1.3742,200.61,11,8,19,0,0.96,1,37,25,25,8,1,0,2,0,1,218.9943469,0,133.2274,12,5.421891892,22.13820781,13.46124205,150
-0.530177984,435.3559883,3.2162,80.62,7,2,25,0,1.0,0,30,23,23,2,0,0,4,0,1,184.5704596,0,120.8426,12,2.687333333,19.69411984,12.02587906,151
