Name,TARGET,Log10(cmc*1000+1),MW,LogP,TPSA,HBA,HBD,RotBonds,NumAromRings,FractionCSP3,NumRings
Oximulsion 9900,0,0,396.2723182,1.9755,84.84,8,1,21,0,1,0
Softanol 120,0.08,1.908485019,714.5129424,4.0972,130.99,13,1,45,0,1,0
Softanol 150,0.2,2.303196057,846.5915867,4.147,158.68,16,1,54,0,1,0
Softanol 90,0.07,1.851258349,582.4342982,4.0474,103.3,10,1,36,0,1,0
Surfom 1322 SC,0.03,1.491361694,1297.673675,2.868,282.4,22,5,62,4,0.630769231,4
Surfom 1325 SC,0.02,1.322219295,1228.571314,3.1513,217.27,19,1,59,4,0.612903226,4
Surfom SC 8155,0.96,2.982723388,502.2906843,3.1919,122.14,8,2,27,0,1,0
Surfom SC 8213,0.01,1.041392685,400.3301079,3.6635,63.52,6,1,21,0,0.954545455,1
Surfom SC 8216,0.1,2.004321374,540.246566,2.1791,117.54,9,0,28,0,1,0
Surfom SC 8243,0.26,2.416640507,544.3376345,4.3622,122.14,8,2,30,0,1,0
Surfom SC 8384,0.07,1.851258349,1201.585515,7.6786,250.61,20,1,56,4,0.516129032,4
Surfom SC 8898,0.12,2.08278537,544.3376345,4.3622,122.14,8,2,30,0,1,0
Surfonic  POA-62,33.7,4.527642788,2375.633516,11.0742,448.35,45,3,129,0,1,0
Surfonic DOS 75 PG,2.02,3.305566314,444.2157688,3.6942,95.97,7,0,17,0,0.9,0
Surfonic DOS-70E,1.99,3.29907126,444.2157688,3.6942,95.97,7,0,17,0,0.9,0
Surfonic L24-6.8 NRE U,0.03,1.491361694,508.3975188,4.4059,84.84,8,1,32,0,1,0
Surfonic L24-9 NRE,0.03,1.491361694,596.4499482,4.4391,103.3,10,1,38,0,1,0
Surfonic POA-L61,3.38,3.529045171,1935.371368,11.1738,345.05,35,2,100,0,1,0
Termul 203,0,0,7086.76009,30.248,1284.74,138,1,413,0,1,0
Termul 5500,0,0,3822.560809,15.6047,703.25,75,1,224,0,1,0
Tersperse 2500,0.03,1.491361694,2109.184749,6.7655,519.04,43,1,92,0,0.87254902,0
Tersperse 2612,0.05,1.707570176,7708.64376,101.6863,999.02,50,30,249,48,0.395626243,48
"Tricyclodecanedimethanol 6,5EO",13.57,4.13261185,460.3036184,1.369,95.84,8,2,20,0,1,3
Ultrader DGW 710,0.02,1.322219295,538.4080834,4.0324,94.07,9,1,34,0,1,0
Ultramina 200,0.05,1.707570176,795.6071772,5.4765,136,13,2,50,0,0.952380952,0
Ultramina CO 150,0.09,1.959041392,845.6075711,3.4097,163.69,16,2,54,0,1,0
Ultramina TA 0100,0.04,1.612783857,707.5547477,5.4433,117.54,11,2,44,0,0.947368421,0
Ultramina TA 050,0.02,1.322219295,487.4236739,5.3603,71.39,6,2,29,0,0.928571429,0
Ultramina TA 080,0.01,1.041392685,619.5023182,5.4101,99.08,9,2,38,0,0.941176471,0
Ultramina TA 120,0.01,1.041392685,795.6071772,5.4765,136,13,2,50,0,0.952380952,0
Ultramina TA 150,0.03,1.491361694,927.6858214,5.5263,163.69,16,2,59,0,0.958333333,0
Ultramina TA 200,0.08,1.908485019,1147.816895,5.6093,209.84,21,2,74,0,0.965517241,0
Ultranex NP 0040,0.01,1.041392685,396.2875744,4.4006,57.15,5,1,20,1,0.739130435,1
Ultranex NP 0060,0.02,1.322219295,660.4448629,4.5002,112.53,11,1,38,1,0.828571429,1
Ultranex NP 0080,0.03,1.491361694,748.4972924,4.5334,130.99,13,1,44,1,0.846153846,1
Ultranex NP 0095,0.04,1.612783857,660.4448629,4.5002,112.53,11,1,38,1,0.828571429,1
Ultranex NP 0100,0.05,1.707570176,660.4448629,4.5002,112.53,11,1,38,1,0.828571429,1
Ultranex NP 0110,0.06,1.785329835,748.4972924,4.5334,130.99,13,1,44,1,0.846153846,1
Ultranex NP 0120,0.06,1.785329835,792.5235071,4.55,140.22,14,1,47,1,0.853658537,1
Ultranex NP 0150,0.1,2.004321374,924.6021514,4.5998,167.91,17,1,56,1,0.872340426,1
Ultranex NP 0200,0.2,2.303196057,1100.70701,4.6662,204.83,21,1,68,1,0.890909091,1
Ultranex NP 0230,0.47,2.673020907,1232.785655,4.716,232.52,24,1,77,1,0.901639344,1
Ultranex NP 0300,0.62,2.7930916,1540.969158,4.8322,297.13,31,1,98,1,0.92,1
Ultranex NP 0300 S,0.35,2.545307116,1540.969158,4.8322,297.13,31,1,98,1,0.92,1
Ultranex NP 0400,0.76,2.881384657,1981.231305,4.9982,389.43,41,1,128,1,0.936842105,1
Ultranex NP 1000,0.32,2.506505032,4622.80419,5.9942,943.23,101,1,308,1,0.972093023,1
Ultranex NP 300 W30 PH,0.52,2.716837723,1540.969158,4.8322,297.13,31,1,98,1,0.92,1
Ultranex NP 85 NR,0.03,1.491361694,660.4448629,4.5002,112.53,11,1,38,1,0.828571429,1
Ultranex TSP 160,0.01,1.041392685,1060.575937,7.8013,158.68,16,1,51,4,0.5,4
Ultranol 1001,0.92,2.96425963,378.2981391,3.0583,66.38,6,1,22,0,1,0
Ultraric 5000 HM (lote Mau�),0,0,5355.561266,20.7813,989.38,106,1,317,0,1,0
