Dim1,Dim2,ID,Label,Target
0.38538602,5.5217347,227,4,0.204119983
-8.6875925,-20.307354,228,2,-0.193820026
-11.889835,-4.8360643,229,0,0.342422681
10.574707,3.9955826,230,3,0.698970004
6.8569293,2.241522,231,3,-0.286509457
10.390718,4.039172,232,3,0.699404082
-0.51612115,8.627802,233,7,0.602059991
10.543986,6.239853,234,3,-0.508638306
8.568217,-18.339752,235,1,-0.886056648
9.537942,4.776492,236,3,-2.289882635
4.021349,-0.9875211,237,6,-0.522878745
2.8468988,3.99927,238,4,-2.22184875
-23.432896,-4.9397306,239,5,0.301029996
9.848227,-17.56902,240,1,-0.677780705
2.1097581,-5.8215013,241,6,1.361727836
-8.687737,-20.305824,242,2,0.544068044
4.837639,3.0230722,243,4,-0.349692477
-23.43241,-4.9390674,244,5,0.414973348
10.218015,-17.35114,245,1,-0.602059991
11.112899,4.313646,246,3,-1.707743929
-15.439693,14.610496,247,8,-0.397940009
3.417624,1.8898546,248,4,0.699837726
-3.3055923,5.8925247,249,-1,1.589949602
2.4164867,3.3760996,250,4,-0.590066877
9.608342,-17.713371,251,1,-0.677780705
9.462043,5.1087046,252,3,-2.119758224
3.313894,11.24931,253,-1,-1.473660723
11.344604,4.3153305,254,3,0.301029996
-3.156483,5.91127,255,-1,0.826074803
2.1584873,-5.880563,256,6,1.301029996
-12.708527,-5.447485,257,0,0.653212514
11.22502,4.2484345,258,3,0.72427587
3.8151004,-0.85570204,259,6,1.11058971
6.4100394,2.1209383,260,3,-2.63921731
3.3736212,11.329702,261,-1,-1.669586227
-1.0335675,9.835508,262,7,0.899820502
8.515721,-18.373108,263,1,-1.305394801
4.450566,-0.32830337,264,6,-2.04793441
-12.46203,-2.1646192,265,0,1.093421685
-3.3051376,5.88899,266,-1,0.973127854
10.147691,4.153662,267,3,-0.022276395
-12.782366,-5.1104755,268,0,1.204119983
1.9777718,-5.707349,269,6,0.36078269
-11.436576,-2.7703667,270,0,0.130333768
-11.904075,-2.9005032,271,0,0.949390007
-0.3127268,5.081397,272,4,1.782114148
-0.0023843532,5.1420817,273,4,1.278753601
-8.68733,-20.305996,274,2,-0.045757491
-3.3220081,5.8879156,275,-1,0.982271233
3.7570746,-1.8964434,276,6,-1.060231224
11.397108,4.3356805,277,3,0.301029996
9.639352,4.5430903,278,3,-1.698970004
2.2595842,-4.0923657,279,6,-1.480828536
2.2869375,4.260813,280,4,-2.397940009
1.6429635,5.0153327,281,4,-0.8261012
8.119474,2.8147776,282,3,0.462397998
4.5358243,-0.29978442,283,6,-2.769551079
-12.661163,-5.2323627,284,0,1.146128036
-15.580876,14.8543215,285,8,1.662757832
7.92432,2.6627467,286,3,-2.051098239
3.3991265,-2.9853592,287,6,-0.091514981
3.2228673,11.071537,288,-1,-1.494850022
-12.221744,-2.1527286,289,0,1.633468456
2.1119757,-5.7824636,290,6,0.69019608
11.158078,4.3931217,291,3,0.72427587
2.142615,-5.8433313,292,6,2.255272505
2.84689,4.0473886,293,4,-2.235077015
-12.339035,-2.141921,294,0,0.591064607
-15.54838,14.79654,295,8,0.079181246
-8.688702,-20.305965,296,2,1.591064607
2.0825493,-4.759026,297,6,-0.519993057
-12.196702,-3.6572728,298,0,0.799340549
4.4980316,3.5051908,299,4,-1.649751982
-0.99894,9.76881,300,7,0.699837726
3.428693,1.9142417,301,4,-0.289882635
10.559153,-17.147614,302,1,-0.480172006
1.764317,4.7041245,303,4,-0.443697499
7.95076,2.6480415,304,3,-0.886056648
-23.433306,-4.9394383,305,5,0.662757832
8.893832,-18.141016,306,1,0.491361694
6.926775,2.2644212,307,3,-0.286509457
-12.644743,-5.4151144,308,0,0.556302501
10.908175,6.101202,309,3,1.919078092
-0.5215712,8.63298,310,7,0.800029359
-12.389483,-2.1740541,311,0,1.201397124
3.4357784,-2.4332864,312,6,-1.191789027
3.9503098,-1.1854246,313,6,-1.088043811
-0.36176524,5.1281414,314,4,2.089905111
-8.6880455,-20.306044,315,2,0.72427587
7.7954607,2.6327975,316,3,-2.283996656
1.4883844,5.1843343,317,4,0.107209969
-10.722767,-2.311616,318,0,2.301029996
-1.0136114,9.830117,319,7,0.929418926
-11.985014,-5.302805,320,0,0.041392685
3.000495,3.1652985,321,4,-1.568636236
-0.46757033,8.5058565,322,7,1.198657087
10.767566,6.171927,323,3,0.381285373
-0.70544875,9.163862,324,7,-0.600326279
-3.2279801,5.8801665,325,-1,1.762678564
9.246675,-17.931028,326,1,-0.823908741
10.77613,6.1929374,327,3,0.755874856
9.438302,5.067119,328,3,-1.300000003
8.547927,-18.351717,329,1,-1.11577123
2.1869617,-5.542791,330,6,1.301029996
10.496132,-17.184715,331,1,-0.48148606
2.3211281,4.100186,332,4,-0.578396073
-23.432165,-4.9397225,333,5,0.278753601
7.4185824,2.5717783,334,3,-1.675717545
-12.508793,-5.3546724,335,0,0.875061263
-23.434486,-4.940218,336,5,1.477121255
3.578473,-3.8912902,337,6,2.053078443
-8.687636,-20.306927,338,2,0.301029996
-0.5772466,8.811338,339,7,0.812913357
1.6354634,-4.023209,340,6,-1.88941029
2.7706504,-5.2009954,341,6,0.872447648
-0.16321465,5.0899873,342,4,1.762678564
2.590128,4.0598063,343,4,-3.795880017
-3.1909084,5.9019337,344,-1,0.813247301
3.682468,-3.1013896,345,6,1.330413773
-1.0254691,9.827426,346,7,1.100370545
