Name,TARGET,SOM_X,SOM_Y,PaCMAP_Dim1,PaCMAP_Dim2,PaCMAP_Cluster
Ultrader DGW 710,1.322219295,23,17,-7.4577947,0.4023929,3
Ultramina 200,1.707570176,4,27,8.055812,-3.0632503,1
Ultramina CO 150,1.959041392,8,21,8.233568,-2.306958,1
Ultramina TA 0100,1.612783857,7,27,7.995876,-3.3161077,1
Ultramina TA 050,1.322219295,14,15,7.919224,-3.5473683,1
Ultramina TA 080,1.041392685,9,27,7.9780235,-3.371742,1
Ultramina TA 120,1.041392685,4,27,8.055836,-3.0861535,1
Ultramina TA 150,1.491361694,7,24,8.142813,-2.744659,1
Ultramina TA 200,1.908485019,5,22,8.198413,-2.4582477,1
Ultranex NP 0040,1.041392685,0,27,1.6262673,6.3622704,1
Ultranex NP 0060,1.322219295,1,24,2.2626057,6.863152,1
Ultranex NP 0080,1.491361694,0,21,2.3854845,6.898021,1
Ultranex NP 0095,1.612783857,0,24,2.2422686,6.851854,1
Ultranex NP 0100,1.707570176,1,24,2.3054776,6.9277716,1
Ultranex NP 0110,1.785329835,0,21,2.5047338,6.962565,1
Ultranex NP 0120,1.785329835,2,21,2.5804732,6.9081855,1
Ultranex NP 0150,2.004321374,17,11,3.3125694,6.809406,1
Ultranex NP 0200,2.303196057,16,9,5.615754,6.541296,1
Ultranex NP 0230,2.673020907,17,6,6.1627235,6.2501006,1
Ultranex NP 0300,2.7930916,13,8,6.5225115,5.8706827,1
Ultranex NP 0300 S,2.545307116,13,8,6.6142554,5.8225527,1
Ultranex NP 0400,2.881384657,12,5,7.6012373,4.618963,1
Ultranex NP 1000,2.506505032,4,1,8.958783,1.6793407,1
Ultranex NP 300 W30 PH,2.716837723,13,8,6.4515557,6.015779,1
Ultranex NP 85 NR,1.491361694,1,24,2.3014894,6.9178343,1
Ultranex TSP 160,1.041392685,8,6,-13.674422,-10.231879,0
Ultranol 1001,2.96425963,18,16,-5.3411994,-1.3405002,3
Ultraric 5000 HM (lote Mau�),0.0,9,2,8.978321,1.4814284,1
